City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
156,argo,37.6333,22.7333,287.47,85,71,0.85,GR,2023-11-11
157,balqash,46.8481,74.995,273.48,100,100,5.0,KZ,2023-11-11
158,drayton valley,53.2168,-114.9854,273.93,65,0,3.17,CA,2023-11-11
159,piste,20.7,-88.5833,296.68,98,19,1.41,MX,2023-11-11
160,kodiak,57.79,-152.4072,274.88,51,75,7.72,US,2023-11-11
161,jabor,5.921,169.6434,301.41,82,100,6.86,MH,2023-11-11
162,mount isa,-20.7333,139.5,308.02,31,100,4.63,AU,2023-11-11
163,constantia,44.1833,28.65,285.53,83,100,6.21,RO,2023-11-11
164,babu,24.4167,111.5167,292.12,87,97,2.59,CN,2023-11-11
165,pitea,65.3172,21.4794,264.2,88,45,3.36,SE,2023-11-11
166,mudanjiang,44.5833,129.6,263.97,81,39,2.51,CN,2023-11-11
167,lompoc,34.6391,-120.4579,286.92,85,0,11.18,US,2023-11-11
168,rakops,-21.0167,24.3333,297.22,49,53,6.74,BW,2023-11-11
169,lorengau,-2.0226,147.2712,301.72,77,100,4.38,PG,2023-11-11
170,isafjordur,66.0755,-23.124,273.46,78,84,1.32,IS,2023-11-11
171,brookings,44.3114,-96.7984,272.59,81,0,2.06,US,2023-11-11
172,chandler,33.3062,-111.8412,291.87,23,0,2.57,US,2023-11-11
173,nishinoomote,30.7333,131.0,293.46,71,100,3.11,JP,2023-11-11
174,mbanza kongo,-6.267,14.2401,293.88,99,100,1.02,AO,2023-11-11
175,uturoa,-16.7333,-151.4333,300.25,81,100,5.47,PF,2023-11-11
176,broken hill,-31.95,141.4333,307.89,18,28,5.05,AU,2023-11-11
177,nephi,39.7102,-111.8363,276.14,34,92,0.85,US,2023-11-11
178,caohe,30.2297,115.4335,287.1,70,100,0.73,CN,2023-11-11
179,springbok,-29.6643,17.8865,287.14,69,7,2.26,ZA,2023-11-11
180,nova olinda do norte,-3.8881,-59.0942,301.97,53,37,1.51,BR,2023-11-11
181,gaalkacyo,6.7697,47.4308,296.04,86,100,2.69,SO,2023-11-11
